household_id,tariff_rate,billing_tier,subsidy_flag
HH-0001,0.12,Tier-1_Residential,0
HH-0002,0.1355,Tier-1_Residential,0
HH-0003,0.1467,Tier-1_Residential,1
HH-0004,0.2377,Tier-2_Commercial,0
HH-0005,0.1605,Tier-1_Residential,0
HH-0006,0.1698,Tier-1_Residential,1
HH-0007,0.1646,Tier-1_Residential,0
HH-0008,0.2178,Tier-2_Commercial,0
HH-0009,0.1501,Tier-1_Residential,1
HH-0010,0.2126,Tier-2_Commercial,0
HH-0011,0.2478,Tier-2_Commercial,0
HH-0012,0.1366,Tier-1_Residential,1
HH-0013,0.1542,Tier-1_Residential,0
HH-0014,0.1513,Tier-1_Residential,0
HH-0015,0.2225,Tier-2_Commercial,1
HH-0016,0.1362,Tier-1_Residential,0
HH-0017,0.1314,Tier-1_Residential,0
HH-0018,0.1524,Tier-1_Residential,1
HH-0019,0.1206,Tier-1_Residential,0
HH-0020,0.1344,Tier-1_Residential,0
HH-0021,0.1508,Tier-1_Residential,1
HH-0022,0.1625,Tier-1_Residential,0
HH-0023,0.153,Tier-1_Residential,0
HH-0024,0.387,Tier-3_Industrial,1
HH-0025,0.1201,Tier-1_Residential,0
HH-0026,0.1635,Tier-1_Residential,0
HH-0027,0.2142,Tier-2_Commercial,1
HH-0028,0.2514,Tier-2_Commercial,0
HH-0029,0.1643,Tier-1_Residential,0
HH-0030,0.1789,Tier-1_Residential,1
HH-0031,0.2771,Tier-2_Commercial,0
HH-0032,0.3544,Tier-3_Industrial,0
HH-0033,0.1403,Tier-1_Residential,1
HH-0034,0.2577,Tier-2_Commercial,0
HH-0035,0.1193,Tier-1_Residential,0
HH-0036,0.1742,Tier-1_Residential,1
HH-0037,0.168,Tier-1_Residential,0
HH-0038,0.1317,Tier-1_Residential,0
HH-0039,0.1317,Tier-1_Residential,1
HH-0040,0.1235,Tier-1_Residential,0
HH-0041,0.2641,Tier-2_Commercial,0
HH-0042,0.1661,Tier-1_Residential,1
HH-0043,0.17,Tier-1_Residential,0
HH-0044,0.2367,Tier-2_Commercial,0
HH-0045,0.1259,Tier-1_Residential,1
HH-0046,0.1402,Tier-1_Residential,0
HH-0047,0.1429,Tier-1_Residential,0
HH-0048,0.1644,Tier-1_Residential,1
HH-0049,0.2562,Tier-2_Commercial,0
HH-0050,0.1535,Tier-1_Residential,0
