household_id,tariff_rate,billing_tier,subsidy_flag
HH-0001,0.2137,Tier-2_Commercial,0
HH-0002,0.1817,Tier-1_Residential,0
HH-0003,0.1268,Tier-1_Residential,1
HH-0004,0.1627,Tier-1_Residential,0
HH-0005,0.2534,Tier-2_Commercial,0
HH-0006,0.1408,Tier-1_Residential,1
HH-0007,0.1725,Tier-1_Residential,0
HH-0008,0.3337,Tier-3_Industrial,0
HH-0009,0.1353,Tier-1_Residential,1
HH-0010,0.2037,Tier-2_Commercial,0
HH-0011,0.1292,Tier-1_Residential,0
HH-0012,0.156,Tier-1_Residential,1
HH-0013,0.178,Tier-1_Residential,0
HH-0014,0.1532,Tier-1_Residential,0
HH-0015,0.183,Tier-1_Residential,1
HH-0016,0.178,Tier-1_Residential,0
HH-0017,0.3372,Tier-3_Industrial,0
HH-0018,0.2497,Tier-2_Commercial,1
HH-0019,0.1749,Tier-1_Residential,0
HH-0020,0.1539,Tier-1_Residential,0
HH-0021,0.1204,Tier-1_Residential,1
HH-0022,0.3804,Tier-3_Industrial,0
HH-0023,0.1564,Tier-1_Residential,0
HH-0024,0.1781,Tier-1_Residential,1
HH-0025,0.3101,Tier-3_Industrial,0
HH-0026,0.1544,Tier-1_Residential,0
HH-0027,0.1757,Tier-1_Residential,1
HH-0028,0.1847,Tier-1_Residential,0
HH-0029,0.3563,Tier-3_Industrial,0
HH-0030,0.168,Tier-1_Residential,1
HH-0031,0.2568,Tier-2_Commercial,0
HH-0032,0.1693,Tier-1_Residential,0
HH-0033,0.2412,Tier-2_Commercial,1
HH-0034,0.2046,Tier-2_Commercial,0
HH-0035,0.1323,Tier-1_Residential,0
HH-0036,0.1384,Tier-1_Residential,1
HH-0037,0.1566,Tier-1_Residential,0
HH-0038,0.2012,Tier-2_Commercial,0
HH-0039,0.1244,Tier-1_Residential,1
HH-0040,0.1197,Tier-1_Residential,0
HH-0041,0.1587,Tier-1_Residential,0
HH-0042,0.2297,Tier-2_Commercial,1
HH-0043,0.2444,Tier-2_Commercial,0
HH-0044,0.1534,Tier-1_Residential,0
HH-0045,0.1699,Tier-1_Residential,1
HH-0046,0.3236,Tier-3_Industrial,0
HH-0047,0.1758,Tier-1_Residential,0
HH-0048,0.181,Tier-1_Residential,1
HH-0049,0.1311,Tier-1_Residential,0
HH-0050,0.1393,Tier-1_Residential,0
