household_id,tariff_rate,billing_tier,subsidy_flag
HH-0001,0.134,Tier-1_Residential,0
HH-0002,0.276,Tier-2_Commercial,0
HH-0003,0.26,Tier-2_Commercial,1
HH-0004,0.2223,Tier-2_Commercial,0
HH-0005,0.2593,Tier-2_Commercial,0
HH-0006,0.1656,Tier-1_Residential,1
HH-0007,0.1409,Tier-1_Residential,0
HH-0008,0.2281,Tier-2_Commercial,0
HH-0009,0.3549,Tier-3_Industrial,1
HH-0010,0.1711,Tier-1_Residential,0
HH-0011,0.1403,Tier-1_Residential,0
HH-0012,0.1761,Tier-1_Residential,1
HH-0013,0.1778,Tier-1_Residential,0
HH-0014,0.1795,Tier-1_Residential,0
HH-0015,0.1441,Tier-1_Residential,1
HH-0016,0.1469,Tier-1_Residential,0
HH-0017,0.2498,Tier-2_Commercial,0
HH-0018,0.1794,Tier-1_Residential,1
HH-0019,0.1566,Tier-1_Residential,0
HH-0020,0.1558,Tier-1_Residential,0
HH-0021,0.1844,Tier-1_Residential,1
HH-0022,0.1653,Tier-1_Residential,0
HH-0023,0.1237,Tier-1_Residential,0
HH-0024,0.1444,Tier-1_Residential,1
HH-0025,0.348,Tier-3_Industrial,0
HH-0026,0.1412,Tier-1_Residential,0
HH-0027,0.1198,Tier-1_Residential,1
HH-0028,0.17,Tier-1_Residential,0
HH-0029,0.2697,Tier-2_Commercial,0
HH-0030,0.155,Tier-1_Residential,1
HH-0031,0.1399,Tier-1_Residential,0
HH-0032,0.1503,Tier-1_Residential,0
HH-0033,0.1222,Tier-1_Residential,1
HH-0034,0.1646,Tier-1_Residential,0
HH-0035,0.1415,Tier-1_Residential,0
HH-0036,0.2374,Tier-2_Commercial,1
HH-0037,0.1576,Tier-1_Residential,0
HH-0038,0.2241,Tier-2_Commercial,0
HH-0039,0.1289,Tier-1_Residential,1
HH-0040,0.2961,Tier-3_Industrial,0
HH-0041,0.1196,Tier-1_Residential,0
HH-0042,0.1493,Tier-1_Residential,1
HH-0043,0.1746,Tier-1_Residential,0
HH-0044,0.2435,Tier-2_Commercial,0
HH-0045,0.1326,Tier-1_Residential,1
HH-0046,0.2009,Tier-2_Commercial,0
HH-0047,0.1712,Tier-1_Residential,0
HH-0048,0.3235,Tier-3_Industrial,1
HH-0049,0.1818,Tier-1_Residential,0
HH-0050,0.1508,Tier-1_Residential,0
