household_id,tariff_rate,billing_tier,subsidy_flag
HH-0001,0.1321,Tier-1_Residential,0
HH-0002,0.2685,Tier-2_Commercial,0
HH-0003,0.166,Tier-1_Residential,1
HH-0004,0.3191,Tier-3_Industrial,0
HH-0005,0.1575,Tier-1_Residential,0
HH-0006,0.1269,Tier-1_Residential,1
HH-0007,0.2033,Tier-2_Commercial,0
HH-0008,0.2571,Tier-2_Commercial,0
HH-0009,0.2155,Tier-2_Commercial,1
HH-0010,0.1436,Tier-1_Residential,0
HH-0011,0.1519,Tier-1_Residential,0
HH-0012,0.3069,Tier-3_Industrial,1
HH-0013,0.1485,Tier-1_Residential,0
HH-0014,0.1284,Tier-1_Residential,0
HH-0015,0.272,Tier-2_Commercial,1
HH-0016,0.3722,Tier-3_Industrial,0
HH-0017,0.3356,Tier-3_Industrial,0
HH-0018,0.1832,Tier-1_Residential,1
HH-0019,0.1627,Tier-1_Residential,0
HH-0020,0.2187,Tier-2_Commercial,0
HH-0021,0.1523,Tier-1_Residential,1
HH-0022,0.2207,Tier-2_Commercial,0
HH-0023,0.2044,Tier-2_Commercial,0
HH-0024,0.3716,Tier-3_Industrial,1
HH-0025,0.1315,Tier-1_Residential,0
HH-0026,0.1152,Tier-1_Residential,0
HH-0027,0.2475,Tier-2_Commercial,1
HH-0028,0.1217,Tier-1_Residential,0
HH-0029,0.3062,Tier-3_Industrial,0
HH-0030,0.1297,Tier-1_Residential,1
HH-0031,0.3023,Tier-3_Industrial,0
HH-0032,0.2169,Tier-2_Commercial,0
HH-0033,0.2812,Tier-2_Commercial,1
HH-0034,0.1202,Tier-1_Residential,0
HH-0035,0.1639,Tier-1_Residential,0
HH-0036,0.3076,Tier-3_Industrial,1
HH-0037,0.1379,Tier-1_Residential,0
HH-0038,0.174,Tier-1_Residential,0
HH-0039,0.1232,Tier-1_Residential,1
HH-0040,0.152,Tier-1_Residential,0
HH-0041,0.2821,Tier-2_Commercial,0
HH-0042,0.2858,Tier-2_Commercial,1
HH-0043,0.2321,Tier-2_Commercial,0
HH-0044,0.2145,Tier-2_Commercial,0
HH-0045,0.2579,Tier-2_Commercial,1
HH-0046,0.1712,Tier-1_Residential,0
HH-0047,0.3306,Tier-3_Industrial,0
HH-0048,0.2498,Tier-2_Commercial,1
HH-0049,0.1641,Tier-1_Residential,0
HH-0050,0.1189,Tier-1_Residential,0
