household_id,tariff_rate,billing_tier,subsidy_flag
HH-0001,0.1488,Tier-1_Residential,0
HH-0002,0.1254,Tier-1_Residential,0
HH-0003,0.1645,Tier-1_Residential,1
HH-0004,0.3927,Tier-3_Industrial,0
HH-0005,0.1442,Tier-1_Residential,0
HH-0006,0.2347,Tier-2_Commercial,1
HH-0007,0.1382,Tier-1_Residential,0
HH-0008,0.2043,Tier-2_Commercial,0
HH-0009,0.1555,Tier-1_Residential,1
HH-0010,0.1649,Tier-1_Residential,0
HH-0011,0.1678,Tier-1_Residential,0
HH-0012,0.1578,Tier-1_Residential,1
HH-0013,0.1323,Tier-1_Residential,0
HH-0014,0.2067,Tier-2_Commercial,0
HH-0015,0.1183,Tier-1_Residential,1
HH-0016,0.1488,Tier-1_Residential,0
HH-0017,0.1752,Tier-1_Residential,0
HH-0018,0.1303,Tier-1_Residential,1
HH-0019,0.1492,Tier-1_Residential,0
HH-0020,0.1559,Tier-1_Residential,0
HH-0021,0.4323,Tier-3_Industrial,1
HH-0022,0.1568,Tier-1_Residential,0
HH-0023,0.143,Tier-1_Residential,0
HH-0024,0.2609,Tier-2_Commercial,1
HH-0025,0.1555,Tier-1_Residential,0
HH-0026,0.1526,Tier-1_Residential,0
HH-0027,0.1404,Tier-1_Residential,1
HH-0028,0.1643,Tier-1_Residential,0
HH-0029,0.146,Tier-1_Residential,0
HH-0030,0.2263,Tier-2_Commercial,1
HH-0031,0.1628,Tier-1_Residential,0
HH-0032,0.142,Tier-1_Residential,0
HH-0033,0.1269,Tier-1_Residential,1
HH-0034,0.1735,Tier-1_Residential,0
HH-0035,0.1794,Tier-1_Residential,0
HH-0036,0.163,Tier-1_Residential,1
HH-0037,0.1743,Tier-1_Residential,0
HH-0038,0.181,Tier-1_Residential,0
HH-0039,0.2221,Tier-2_Commercial,1
HH-0040,0.2392,Tier-2_Commercial,0
HH-0041,0.1306,Tier-1_Residential,0
HH-0042,0.3842,Tier-3_Industrial,1
HH-0043,0.1808,Tier-1_Residential,0
HH-0044,0.3489,Tier-3_Industrial,0
HH-0045,0.2618,Tier-2_Commercial,1
HH-0046,0.1663,Tier-1_Residential,0
HH-0047,0.1595,Tier-1_Residential,0
HH-0048,0.1817,Tier-1_Residential,1
HH-0049,0.141,Tier-1_Residential,0
HH-0050,0.1662,Tier-1_Residential,0
