household_id,tariff_rate,billing_tier,subsidy_flag
HH-0001,0.1858,Tier-1_Residential,0
HH-0002,0.12,Tier-1_Residential,0
HH-0003,0.2573,Tier-2_Commercial,1
HH-0004,0.2363,Tier-2_Commercial,0
HH-0005,0.2063,Tier-2_Commercial,0
HH-0006,0.1319,Tier-1_Residential,1
HH-0007,0.1362,Tier-1_Residential,0
HH-0008,0.2142,Tier-2_Commercial,0
HH-0009,0.18,Tier-1_Residential,1
HH-0010,0.238,Tier-2_Commercial,0
HH-0011,0.1182,Tier-1_Residential,0
HH-0012,0.2032,Tier-2_Commercial,1
HH-0013,0.1258,Tier-1_Residential,0
HH-0014,0.3159,Tier-3_Industrial,0
HH-0015,0.3373,Tier-3_Industrial,1
HH-0016,0.1304,Tier-1_Residential,0
HH-0017,0.2318,Tier-2_Commercial,0
HH-0018,0.1161,Tier-1_Residential,1
HH-0019,0.126,Tier-1_Residential,0
HH-0020,0.1557,Tier-1_Residential,0
HH-0021,0.1296,Tier-1_Residential,1
HH-0022,0.1246,Tier-1_Residential,0
HH-0023,0.1744,Tier-1_Residential,0
HH-0024,0.2651,Tier-2_Commercial,1
HH-0025,0.2709,Tier-2_Commercial,0
HH-0026,0.2783,Tier-2_Commercial,0
HH-0027,0.1793,Tier-1_Residential,1
HH-0028,0.1535,Tier-1_Residential,0
HH-0029,0.3224,Tier-3_Industrial,0
HH-0030,0.1682,Tier-1_Residential,1
HH-0031,0.1281,Tier-1_Residential,0
HH-0032,0.1361,Tier-1_Residential,0
HH-0033,0.1526,Tier-1_Residential,1
HH-0034,0.1372,Tier-1_Residential,0
HH-0035,0.1225,Tier-1_Residential,0
HH-0036,0.1246,Tier-1_Residential,1
HH-0037,0.1539,Tier-1_Residential,0
HH-0038,0.1234,Tier-1_Residential,0
HH-0039,0.1531,Tier-1_Residential,1
HH-0040,0.1248,Tier-1_Residential,0
HH-0041,0.1563,Tier-1_Residential,0
HH-0042,0.163,Tier-1_Residential,1
HH-0043,0.1531,Tier-1_Residential,0
HH-0044,0.1424,Tier-1_Residential,0
HH-0045,0.2905,Tier-2_Commercial,1
HH-0046,0.1196,Tier-1_Residential,0
HH-0047,0.1815,Tier-1_Residential,0
HH-0048,0.2454,Tier-2_Commercial,1
HH-0049,0.1502,Tier-1_Residential,0
HH-0050,0.2323,Tier-2_Commercial,0
