household_id,tariff_rate,billing_tier,subsidy_flag
HH-0001,0.1276,Tier-1_Residential,0
HH-0002,0.1759,Tier-1_Residential,0
HH-0003,0.1329,Tier-1_Residential,1
HH-0004,0.1218,Tier-1_Residential,0
HH-0005,0.1276,Tier-1_Residential,0
HH-0006,0.1619,Tier-1_Residential,1
HH-0007,0.1208,Tier-1_Residential,0
HH-0008,0.4231,Tier-3_Industrial,0
HH-0009,0.2183,Tier-2_Commercial,1
HH-0010,0.2382,Tier-2_Commercial,0
HH-0011,0.1757,Tier-1_Residential,0
HH-0012,0.131,Tier-1_Residential,1
HH-0013,0.2394,Tier-2_Commercial,0
HH-0014,0.1619,Tier-1_Residential,0
HH-0015,0.1683,Tier-1_Residential,1
HH-0016,0.326,Tier-3_Industrial,0
HH-0017,0.1328,Tier-1_Residential,0
HH-0018,0.1375,Tier-1_Residential,1
HH-0019,0.1594,Tier-1_Residential,0
HH-0020,0.1635,Tier-1_Residential,0
HH-0021,0.1539,Tier-1_Residential,1
HH-0022,0.1805,Tier-1_Residential,0
HH-0023,0.1195,Tier-1_Residential,0
HH-0024,0.1671,Tier-1_Residential,1
HH-0025,0.1446,Tier-1_Residential,0
HH-0026,0.168,Tier-1_Residential,0
HH-0027,0.1729,Tier-1_Residential,1
HH-0028,0.1934,Tier-2_Commercial,0
HH-0029,0.1719,Tier-1_Residential,0
HH-0030,0.1789,Tier-1_Residential,1
HH-0031,0.1609,Tier-1_Residential,0
HH-0032,0.1308,Tier-1_Residential,0
HH-0033,0.1498,Tier-1_Residential,1
HH-0034,0.1635,Tier-1_Residential,0
HH-0035,0.3989,Tier-3_Industrial,0
HH-0036,0.1468,Tier-1_Residential,1
HH-0037,0.356,Tier-3_Industrial,0
HH-0038,0.163,Tier-1_Residential,0
HH-0039,0.1341,Tier-1_Residential,1
HH-0040,0.1606,Tier-1_Residential,0
HH-0041,0.1521,Tier-1_Residential,0
HH-0042,0.1808,Tier-1_Residential,1
HH-0043,0.1619,Tier-1_Residential,0
HH-0044,0.1766,Tier-1_Residential,0
HH-0045,0.3396,Tier-3_Industrial,1
HH-0046,0.1279,Tier-1_Residential,0
HH-0047,0.1369,Tier-1_Residential,0
HH-0048,0.168,Tier-1_Residential,1
HH-0049,0.145,Tier-1_Residential,0
HH-0050,0.4045,Tier-3_Industrial,0
