household_id,tariff_rate,billing_tier,subsidy_flag
HH-0001,0.1362,Tier-1_Residential,0
HH-0002,0.132,Tier-1_Residential,0
HH-0003,0.1301,Tier-1_Residential,1
HH-0004,0.1699,Tier-1_Residential,0
HH-0005,0.1263,Tier-1_Residential,0
HH-0006,0.3117,Tier-3_Industrial,1
HH-0007,0.18,Tier-1_Residential,0
HH-0008,0.1585,Tier-1_Residential,0
HH-0009,0.1317,Tier-1_Residential,1
HH-0010,0.3332,Tier-3_Industrial,0
HH-0011,0.1173,Tier-1_Residential,0
HH-0012,0.1216,Tier-1_Residential,1
HH-0013,0.1485,Tier-1_Residential,0
HH-0014,0.1549,Tier-1_Residential,0
HH-0015,0.1458,Tier-1_Residential,1
HH-0016,0.1621,Tier-1_Residential,0
HH-0017,0.3089,Tier-3_Industrial,0
HH-0018,0.1697,Tier-1_Residential,1
HH-0019,0.2528,Tier-2_Commercial,0
HH-0020,0.234,Tier-2_Commercial,0
HH-0021,0.1323,Tier-1_Residential,1
HH-0022,0.1624,Tier-1_Residential,0
HH-0023,0.1364,Tier-1_Residential,0
HH-0024,0.1315,Tier-1_Residential,1
HH-0025,0.2349,Tier-2_Commercial,0
HH-0026,0.1736,Tier-1_Residential,0
HH-0027,0.1259,Tier-1_Residential,1
HH-0028,0.2525,Tier-2_Commercial,0
HH-0029,0.3578,Tier-3_Industrial,0
HH-0030,0.2454,Tier-2_Commercial,1
HH-0031,0.2555,Tier-2_Commercial,0
HH-0032,0.1394,Tier-1_Residential,0
HH-0033,0.251,Tier-2_Commercial,1
HH-0034,0.2562,Tier-2_Commercial,0
HH-0035,0.1502,Tier-1_Residential,0
HH-0036,0.3901,Tier-3_Industrial,1
HH-0037,0.2139,Tier-2_Commercial,0
HH-0038,0.1378,Tier-1_Residential,0
HH-0039,0.267,Tier-2_Commercial,1
HH-0040,0.3944,Tier-3_Industrial,0
HH-0041,0.199,Tier-2_Commercial,0
HH-0042,0.1336,Tier-1_Residential,1
HH-0043,0.2285,Tier-2_Commercial,0
HH-0044,0.1489,Tier-1_Residential,0
HH-0045,0.1712,Tier-1_Residential,1
HH-0046,0.1605,Tier-1_Residential,0
HH-0047,0.1698,Tier-1_Residential,0
HH-0048,0.1484,Tier-1_Residential,1
HH-0049,0.1327,Tier-1_Residential,0
HH-0050,0.1704,Tier-1_Residential,0
