household_id,tariff_rate,billing_tier,subsidy_flag
HH-0001,0.1274,Tier-1_Residential,0
HH-0002,0.1442,Tier-1_Residential,0
HH-0003,0.2184,Tier-2_Commercial,1
HH-0004,0.1376,Tier-1_Residential,0
HH-0005,0.1439,Tier-1_Residential,0
HH-0006,0.1648,Tier-1_Residential,1
HH-0007,0.1251,Tier-1_Residential,0
HH-0008,0.2316,Tier-2_Commercial,0
HH-0009,0.2606,Tier-2_Commercial,1
HH-0010,0.1294,Tier-1_Residential,0
HH-0011,0.1596,Tier-1_Residential,0
HH-0012,0.237,Tier-2_Commercial,1
HH-0013,0.1437,Tier-1_Residential,0
HH-0014,0.2145,Tier-2_Commercial,0
HH-0015,0.1404,Tier-1_Residential,1
HH-0016,0.1789,Tier-1_Residential,0
HH-0017,0.4066,Tier-3_Industrial,0
HH-0018,0.3068,Tier-3_Industrial,1
HH-0019,0.2207,Tier-2_Commercial,0
HH-0020,0.1609,Tier-1_Residential,0
HH-0021,0.2256,Tier-2_Commercial,1
HH-0022,0.1215,Tier-1_Residential,0
HH-0023,0.1268,Tier-1_Residential,0
HH-0024,0.2423,Tier-2_Commercial,1
HH-0025,0.2529,Tier-2_Commercial,0
HH-0026,0.1507,Tier-1_Residential,0
HH-0027,0.2324,Tier-2_Commercial,1
HH-0028,0.1334,Tier-1_Residential,0
HH-0029,0.2422,Tier-2_Commercial,0
HH-0030,0.1459,Tier-1_Residential,1
HH-0031,0.1292,Tier-1_Residential,0
HH-0032,0.1737,Tier-1_Residential,0
HH-0033,0.1997,Tier-2_Commercial,1
HH-0034,0.1356,Tier-1_Residential,0
HH-0035,0.1489,Tier-1_Residential,0
HH-0036,0.1461,Tier-1_Residential,1
HH-0037,0.1731,Tier-1_Residential,0
HH-0038,0.1383,Tier-1_Residential,0
HH-0039,0.1311,Tier-1_Residential,1
HH-0040,0.1227,Tier-1_Residential,0
HH-0041,0.2565,Tier-2_Commercial,0
HH-0042,0.2427,Tier-2_Commercial,1
HH-0043,0.3502,Tier-3_Industrial,0
HH-0044,0.1573,Tier-1_Residential,0
HH-0045,0.1708,Tier-1_Residential,1
HH-0046,0.3777,Tier-3_Industrial,0
HH-0047,0.2404,Tier-2_Commercial,0
HH-0048,0.1262,Tier-1_Residential,1
HH-0049,0.23,Tier-2_Commercial,0
HH-0050,0.1766,Tier-1_Residential,0
