household_id,tariff_rate,billing_tier,subsidy_flag
HH-0001,0.255,Tier-2_Commercial,0
HH-0002,0.1437,Tier-1_Residential,0
HH-0003,0.1494,Tier-1_Residential,1
HH-0004,0.2658,Tier-2_Commercial,0
HH-0005,0.1796,Tier-1_Residential,0
HH-0006,0.1221,Tier-1_Residential,1
HH-0007,0.1615,Tier-1_Residential,0
HH-0008,0.3227,Tier-3_Industrial,0
HH-0009,0.1357,Tier-1_Residential,1
HH-0010,0.3882,Tier-3_Industrial,0
HH-0011,0.1343,Tier-1_Residential,0
HH-0012,0.1546,Tier-1_Residential,1
HH-0013,0.22,Tier-2_Commercial,0
HH-0014,0.1477,Tier-1_Residential,0
HH-0015,0.1521,Tier-1_Residential,1
HH-0016,0.1541,Tier-1_Residential,0
HH-0017,0.1994,Tier-2_Commercial,0
HH-0018,0.1184,Tier-1_Residential,1
HH-0019,0.245,Tier-2_Commercial,0
HH-0020,0.2597,Tier-2_Commercial,0
HH-0021,0.1799,Tier-1_Residential,1
HH-0022,0.2372,Tier-2_Commercial,0
HH-0023,0.1224,Tier-1_Residential,0
HH-0024,0.165,Tier-1_Residential,1
HH-0025,0.1621,Tier-1_Residential,0
HH-0026,0.1598,Tier-1_Residential,0
HH-0027,0.2282,Tier-2_Commercial,1
HH-0028,0.1504,Tier-1_Residential,0
HH-0029,0.1651,Tier-1_Residential,0
HH-0030,0.1286,Tier-1_Residential,1
HH-0031,0.1396,Tier-1_Residential,0
HH-0032,0.3363,Tier-3_Industrial,0
HH-0033,0.12,Tier-1_Residential,1
HH-0034,0.2344,Tier-2_Commercial,0
HH-0035,0.1749,Tier-1_Residential,0
HH-0036,0.3858,Tier-3_Industrial,1
HH-0037,0.139,Tier-1_Residential,0
HH-0038,0.1367,Tier-1_Residential,0
HH-0039,0.135,Tier-1_Residential,1
HH-0040,0.12,Tier-1_Residential,0
HH-0041,0.1687,Tier-1_Residential,0
HH-0042,0.2063,Tier-2_Commercial,1
HH-0043,0.1296,Tier-1_Residential,0
HH-0044,0.13,Tier-1_Residential,0
HH-0045,0.1295,Tier-1_Residential,1
HH-0046,0.1485,Tier-1_Residential,0
HH-0047,0.1586,Tier-1_Residential,0
HH-0048,0.1175,Tier-1_Residential,1
HH-0049,0.1521,Tier-1_Residential,0
HH-0050,0.3089,Tier-3_Industrial,0
