household_id,tariff_rate,billing_tier,subsidy_flag
HH-0001,0.126,Tier-1_Residential,0
HH-0002,0.1576,Tier-1_Residential,0
HH-0003,0.1699,Tier-1_Residential,1
HH-0004,0.2505,Tier-2_Commercial,0
HH-0005,0.1323,Tier-1_Residential,0
HH-0006,0.1759,Tier-1_Residential,1
HH-0007,0.1575,Tier-1_Residential,0
HH-0008,0.1252,Tier-1_Residential,0
HH-0009,0.1706,Tier-1_Residential,1
HH-0010,0.1448,Tier-1_Residential,0
HH-0011,0.1534,Tier-1_Residential,0
HH-0012,0.2314,Tier-2_Commercial,1
HH-0013,0.1501,Tier-1_Residential,0
HH-0014,0.1277,Tier-1_Residential,0
HH-0015,0.2161,Tier-2_Commercial,1
HH-0016,0.1273,Tier-1_Residential,0
HH-0017,0.151,Tier-1_Residential,0
HH-0018,0.162,Tier-1_Residential,1
HH-0019,0.1662,Tier-1_Residential,0
HH-0020,0.251,Tier-2_Commercial,0
HH-0021,0.2676,Tier-2_Commercial,1
HH-0022,0.2585,Tier-2_Commercial,0
HH-0023,0.1763,Tier-1_Residential,0
HH-0024,0.1559,Tier-1_Residential,1
HH-0025,0.1843,Tier-1_Residential,0
HH-0026,0.1154,Tier-1_Residential,0
HH-0027,0.3137,Tier-3_Industrial,1
HH-0028,0.1679,Tier-1_Residential,0
HH-0029,0.1635,Tier-1_Residential,0
HH-0030,0.1208,Tier-1_Residential,1
HH-0031,0.175,Tier-1_Residential,0
HH-0032,0.1728,Tier-1_Residential,0
HH-0033,0.1603,Tier-1_Residential,1
HH-0034,0.1233,Tier-1_Residential,0
HH-0035,0.1644,Tier-1_Residential,0
HH-0036,0.4124,Tier-3_Industrial,1
HH-0037,0.1677,Tier-1_Residential,0
HH-0038,0.143,Tier-1_Residential,0
HH-0039,0.1183,Tier-1_Residential,1
HH-0040,0.1202,Tier-1_Residential,0
HH-0041,0.1332,Tier-1_Residential,0
HH-0042,0.2684,Tier-2_Commercial,1
HH-0043,0.2384,Tier-2_Commercial,0
HH-0044,0.2207,Tier-2_Commercial,0
HH-0045,0.2635,Tier-2_Commercial,1
HH-0046,0.165,Tier-1_Residential,0
HH-0047,0.1505,Tier-1_Residential,0
HH-0048,0.1712,Tier-1_Residential,1
HH-0049,0.129,Tier-1_Residential,0
HH-0050,0.185,Tier-1_Residential,0
