household_id,tariff_rate,billing_tier,subsidy_flag
HH-0001,0.165,Tier-1_Residential,0
HH-0002,0.249,Tier-2_Commercial,0
HH-0003,0.2233,Tier-2_Commercial,1
HH-0004,0.3328,Tier-3_Industrial,0
HH-0005,0.1556,Tier-1_Residential,0
HH-0006,0.2261,Tier-2_Commercial,1
HH-0007,0.1439,Tier-1_Residential,0
HH-0008,0.3362,Tier-3_Industrial,0
HH-0009,0.2609,Tier-2_Commercial,1
HH-0010,0.1364,Tier-1_Residential,0
HH-0011,0.1494,Tier-1_Residential,0
HH-0012,0.1506,Tier-1_Residential,1
HH-0013,0.1361,Tier-1_Residential,0
HH-0014,0.3695,Tier-3_Industrial,0
HH-0015,0.2317,Tier-2_Commercial,1
HH-0016,0.1267,Tier-1_Residential,0
HH-0017,0.1383,Tier-1_Residential,0
HH-0018,0.2192,Tier-2_Commercial,1
HH-0019,0.1213,Tier-1_Residential,0
HH-0020,0.1479,Tier-1_Residential,0
HH-0021,0.2022,Tier-2_Commercial,1
HH-0022,0.1336,Tier-1_Residential,0
HH-0023,0.2469,Tier-2_Commercial,0
HH-0024,0.1648,Tier-1_Residential,1
HH-0025,0.1318,Tier-1_Residential,0
HH-0026,0.2413,Tier-2_Commercial,0
HH-0027,0.3459,Tier-3_Industrial,1
HH-0028,0.1405,Tier-1_Residential,0
HH-0029,0.1482,Tier-1_Residential,0
HH-0030,0.218,Tier-2_Commercial,1
HH-0031,0.1291,Tier-1_Residential,0
HH-0032,0.1682,Tier-1_Residential,0
HH-0033,0.348,Tier-3_Industrial,1
HH-0034,0.1245,Tier-1_Residential,0
HH-0035,0.1681,Tier-1_Residential,0
HH-0036,0.1792,Tier-1_Residential,1
HH-0037,0.1721,Tier-1_Residential,0
HH-0038,0.1527,Tier-1_Residential,0
HH-0039,0.335,Tier-3_Industrial,1
HH-0040,0.1585,Tier-1_Residential,0
HH-0041,0.1193,Tier-1_Residential,0
HH-0042,0.1661,Tier-1_Residential,1
HH-0043,0.1168,Tier-1_Residential,0
HH-0044,0.153,Tier-1_Residential,0
HH-0045,0.1476,Tier-1_Residential,1
HH-0046,0.2464,Tier-2_Commercial,0
HH-0047,0.1337,Tier-1_Residential,0
HH-0048,0.1512,Tier-1_Residential,1
HH-0049,0.2225,Tier-2_Commercial,0
HH-0050,0.1458,Tier-1_Residential,0
