household_id,tariff_rate,billing_tier,subsidy_flag
HH-0001,0.1307,Tier-1_Residential,0
HH-0002,0.1474,Tier-1_Residential,0
HH-0003,0.1576,Tier-1_Residential,1
HH-0004,0.265,Tier-2_Commercial,0
HH-0005,0.1564,Tier-1_Residential,0
HH-0006,0.175,Tier-1_Residential,1
HH-0007,0.1585,Tier-1_Residential,0
HH-0008,0.135,Tier-1_Residential,0
HH-0009,0.3743,Tier-3_Industrial,1
HH-0010,0.2222,Tier-2_Commercial,0
HH-0011,0.1399,Tier-1_Residential,0
HH-0012,0.1252,Tier-1_Residential,1
HH-0013,0.2443,Tier-2_Commercial,0
HH-0014,0.3053,Tier-3_Industrial,0
HH-0015,0.1333,Tier-1_Residential,1
HH-0016,0.1224,Tier-1_Residential,0
HH-0017,0.1359,Tier-1_Residential,0
HH-0018,0.1158,Tier-1_Residential,1
HH-0019,0.1604,Tier-1_Residential,0
HH-0020,0.184,Tier-1_Residential,0
HH-0021,0.1596,Tier-1_Residential,1
HH-0022,0.1424,Tier-1_Residential,0
HH-0023,0.2184,Tier-2_Commercial,0
HH-0024,0.1579,Tier-1_Residential,1
HH-0025,0.1519,Tier-1_Residential,0
HH-0026,0.1406,Tier-1_Residential,0
HH-0027,0.1331,Tier-1_Residential,1
HH-0028,0.1413,Tier-1_Residential,0
HH-0029,0.1677,Tier-1_Residential,0
HH-0030,0.1697,Tier-1_Residential,1
HH-0031,0.3574,Tier-3_Industrial,0
HH-0032,0.235,Tier-2_Commercial,0
HH-0033,0.2661,Tier-2_Commercial,1
HH-0034,0.1559,Tier-1_Residential,0
HH-0035,0.1465,Tier-1_Residential,0
HH-0036,0.1655,Tier-1_Residential,1
HH-0037,0.1527,Tier-1_Residential,0
HH-0038,0.226,Tier-2_Commercial,0
HH-0039,0.1526,Tier-1_Residential,1
HH-0040,0.1609,Tier-1_Residential,0
HH-0041,0.1285,Tier-1_Residential,0
HH-0042,0.1538,Tier-1_Residential,1
HH-0043,0.1312,Tier-1_Residential,0
HH-0044,0.1341,Tier-1_Residential,0
HH-0045,0.2623,Tier-2_Commercial,1
HH-0046,0.1761,Tier-1_Residential,0
HH-0047,0.2395,Tier-2_Commercial,0
HH-0048,0.179,Tier-1_Residential,1
HH-0049,0.307,Tier-3_Industrial,0
HH-0050,0.2291,Tier-2_Commercial,0
